YearQuarter,Industry,Gender,Number of Full-Time Equivalent Employees
2018Q3,Retail Trade,Female,84400
2018Q4,Retail Trade,Female,91500
1989Q1,Retail Trade,Both Sexes,94000
1989Q2,Retail Trade,Both Sexes,94100
1989Q3,Retail Trade,Both Sexes,92400
1989Q4,Retail Trade,Both Sexes,91100
1990Q1,Retail Trade,Both Sexes,92300
1990Q2,Retail Trade,Both Sexes,89000
1990Q3,Retail Trade,Both Sexes,89400
1990Q4,Retail Trade,Both Sexes,89400
1991Q1,Retail Trade,Both Sexes,91500
1991Q2,Retail Trade,Both Sexes,88800
1991Q3,Retail Trade,Both Sexes,85500
1991Q4,Retail Trade,Both Sexes,85000
1992Q1,Retail Trade,Both Sexes,86700
1992Q2,Retail Trade,Both Sexes,84700
1992Q3,Retail Trade,Both Sexes,84100
1992Q4,Retail Trade,Both Sexes,86700
1993Q1,Retail Trade,Both Sexes,86800
1993Q2,Retail Trade,Both Sexes,86600
1993Q3,Retail Trade,Both Sexes,86800
1993Q4,Retail Trade,Both Sexes,89100
1994Q1,Retail Trade,Both Sexes,90400
1994Q2,Retail Trade,Both Sexes,92900
1994Q3,Retail Trade,Both Sexes,93300
1994Q4,Retail Trade,Both Sexes,95900
1995Q1,Retail Trade,Both Sexes,94400
1995Q2,Retail Trade,Both Sexes,95200
1995Q3,Retail Trade,Both Sexes,97800
1995Q4,Retail Trade,Both Sexes,98800
1996Q1,Retail Trade,Both Sexes,97000
1996Q2,Retail Trade,Both Sexes,99000
1996Q3,Retail Trade,Both Sexes,101100
1996Q4,Retail Trade,Both Sexes,106200
1997Q1,Retail Trade,Both Sexes,98500
1997Q2,Retail Trade,Both Sexes,107200
1997Q3,Retail Trade,Both Sexes,110100
1997Q4,Retail Trade,Both Sexes,111400
1998Q1,Retail Trade,Both Sexes,101100
1998Q2,Retail Trade,Both Sexes,109900
1998Q3,Retail Trade,Both Sexes,110100
1998Q4,Retail Trade,Both Sexes,111300
1999Q1,Retail Trade,Both Sexes,111300
1999Q2,Retail Trade,Both Sexes,108600
1999Q3,Retail Trade,Both Sexes,108800
1999Q4,Retail Trade,Both Sexes,108600
2000Q1,Retail Trade,Both Sexes,108200
2000Q2,Retail Trade,Both Sexes,107200
2000Q3,Retail Trade,Both Sexes,110600
2000Q4,Retail Trade,Both Sexes,112000
2001Q1,Retail Trade,Both Sexes,110800
2001Q2,Retail Trade,Both Sexes,112400
2001Q3,Retail Trade,Both Sexes,114300
2001Q4,Retail Trade,Both Sexes,117600
2002Q1,Retail Trade,Both Sexes,116200
2002Q2,Retail Trade,Both Sexes,118200
2002Q3,Retail Trade,Both Sexes,118600
2002Q4,Retail Trade,Both Sexes,122900
2003Q1,Retail Trade,Both Sexes,122600
2003Q2,Retail Trade,Both Sexes,122400
2003Q3,Retail Trade,Both Sexes,124500
2003Q4,Retail Trade,Both Sexes,126400
2004Q1,Retail Trade,Both Sexes,123600
2004Q2,Retail Trade,Both Sexes,122600
2004Q3,Retail Trade,Both Sexes,125500
2004Q4,Retail Trade,Both Sexes,132100
2005Q1,Retail Trade,Both Sexes,132300
2005Q2,Retail Trade,Both Sexes,130100
2005Q3,Retail Trade,Both Sexes,135700
2005Q4,Retail Trade,Both Sexes,138100
2006Q1,Retail Trade,Both Sexes,138000
2006Q2,Retail Trade,Both Sexes,133200
2006Q3,Retail Trade,Both Sexes,135800
2006Q4,Retail Trade,Both Sexes,135600
2007Q1,Retail Trade,Both Sexes,134900
2007Q2,Retail Trade,Both Sexes,135900
2007Q3,Retail Trade,Both Sexes,131400
2007Q4,Retail Trade,Both Sexes,135200
2008Q1,Retail Trade,Both Sexes,131500
2008Q2,Retail Trade,Both Sexes,130000
2008Q3,Retail Trade,Both Sexes,130400
2008Q4,Retail Trade,Both Sexes,129100
2009Q1,Retail Trade,Both Sexes,128700
2009Q2,Retail Trade,Both Sexes,123100
2009Q3,Retail Trade,Both Sexes,122700
2009Q4,Retail Trade,Both Sexes,132800
2010Q1,Retail Trade,Both Sexes,129100
2010Q2,Retail Trade,Both Sexes,132300
2010Q3,Retail Trade,Both Sexes,130900
2010Q4,Retail Trade,Both Sexes,133400
2011Q1,Retail Trade,Both Sexes,131600
2011Q2,Retail Trade,Both Sexes,129400
2011Q3,Retail Trade,Both Sexes,133100
2011Q4,Retail Trade,Both Sexes,134500
2012Q1,Retail Trade,Both Sexes,132800
2012Q2,Retail Trade,Both Sexes,132000
2012Q3,Retail Trade,Both Sexes,131800
2012Q4,Retail Trade,Both Sexes,134100
2013Q1,Retail Trade,Both Sexes,131300
2013Q2,Retail Trade,Both Sexes,133000
2013Q3,Retail Trade,Both Sexes,133000
2013Q4,Retail Trade,Both Sexes,133100
2014Q1,Retail Trade,Both Sexes,134700
2014Q2,Retail Trade,Both Sexes,134500
2014Q3,Retail Trade,Both Sexes,136300
2014Q4,Retail Trade,Both Sexes,141900
2015Q1,Retail Trade,Both Sexes,139500
2015Q2,Retail Trade,Both Sexes,137900
2015Q3,Retail Trade,Both Sexes,134400
2015Q4,Retail Trade,Both Sexes,138900
2016Q1,Retail Trade,Both Sexes,141600
2016Q2,Retail Trade,Both Sexes,142000
2016Q3,Retail Trade,Both Sexes,140400
2016Q4,Retail Trade,Both Sexes,141500
2017Q1,Retail Trade,Both Sexes,143400
2017Q2,Retail Trade,Both Sexes,144400
2017Q3,Retail Trade,Both Sexes,148400
2017Q4,Retail Trade,Both Sexes,152400
2018Q1,Retail Trade,Both Sexes,151100
2018Q2,Retail Trade,Both Sexes,152900
2018Q3,Retail Trade,Both Sexes,153600
2018Q4,Retail Trade,Both Sexes,160600
1989Q1,Accommodation and Food Services,Male,18400
1989Q2,Accommodation and Food Services,Male,17800
1989Q3,Accommodation and Food Services,Male,17600
1989Q4,Accommodation and Food Services,Male,16900
1990Q1,Accommodation and Food Services,Male,17200
1990Q2,Accommodation and Food Services,Male,15900
1990Q3,Accommodation and Food Services,Male,16400
1990Q4,Accommodation and Food Services,Male,16600
1991Q1,Accommodation and Food Services,Male,17800
1991Q2,Accommodation and Food Services,Male,16000
1991Q3,Accommodation and Food Services,Male,16000
1991Q4,Accommodation and Food Services,Male,16200
1992Q1,Accommodation and Food Services,Male,18100
1992Q2,Accommodation and Food Services,Male,16800
1992Q3,Accommodation and Food Services,Male,16800
1992Q4,Accommodation and Food Services,Male,17400
1993Q1,Accommodation and Food Services,Male,18300
1993Q2,Accommodation and Food Services,Male,17300
1993Q3,Accommodation and Food Services,Male,17400
1993Q4,Accommodation and Food Services,Male,17800
1994Q1,Accommodation and Food Services,Male,19400
1994Q2,Accommodation and Food Services,Male,18400
1994Q3,Accommodation and Food Services,Male,18400
1994Q4,Accommodation and Food Services,Male,19300
1995Q1,Accommodation and Food Services,Male,20700
1995Q2,Accommodation and Food Services,Male,19800
1995Q3,Accommodation and Food Services,Male,20500
1995Q4,Accommodation and Food Services,Male,21300
1996Q1,Accommodation and Food Services,Male,22100
1996Q2,Accommodation and Food Services,Male,21400
1996Q3,Accommodation and Food Services,Male,22500
1996Q4,Accommodation and Food Services,Male,24800
1997Q1,Accommodation and Food Services,Male,22500
1997Q2,Accommodation and Food Services,Male,22700
1997Q3,Accommodation and Food Services,Male,23400
1997Q4,Accommodation and Food Services,Male,23300
1998Q1,Accommodation and Food Services,Male,23700
1998Q2,Accommodation and Food Services,Male,23000
1998Q3,Accommodation and Food Services,Male,23700
1998Q4,Accommodation and Food Services,Male,24300
1999Q1,Accommodation and Food Services,Male,24500
1999Q2,Accommodation and Food Services,Male,23500
1999Q3,Accommodation and Food Services,Male,23800
1999Q4,Accommodation and Food Services,Male,25700
2000Q1,Accommodation and Food Services,Male,25100
2000Q2,Accommodation and Food Services,Male,24700
2000Q3,Accommodation and Food Services,Male,25000
2000Q4,Accommodation and Food Services,Male,25900
2001Q1,Accommodation and Food Services,Male,25900
2001Q2,Accommodation and Food Services,Male,27600
2001Q3,Accommodation and Food Services,Male,26100
2001Q4,Accommodation and Food Services,Male,26800
2002Q1,Accommodation and Food Services,Male,26700
2002Q2,Accommodation and Food Services,Male,27200
2002Q3,Accommodation and Food Services,Male,26700
2002Q4,Accommodation and Food Services,Male,27600
2003Q1,Accommodation and Food Services,Male,27700
2003Q2,Accommodation and Food Services,Male,26800
2003Q3,Accommodation and Food Services,Male,26400
2003Q4,Accommodation and Food Services,Male,26900
2004Q1,Accommodation and Food Services,Male,29300
2004Q2,Accommodation and Food Services,Male,26300
2004Q3,Accommodation and Food Services,Male,27100
2004Q4,Accommodation and Food Services,Male,27900
2005Q1,Accommodation and Food Services,Male,29400
2005Q2,Accommodation and Food Services,Male,29400
2005Q3,Accommodation and Food Services,Male,29300
2005Q4,Accommodation and Food Services,Male,31000
2006Q1,Accommodation and Food Services,Male,33000
2006Q2,Accommodation and Food Services,Male,30800
2006Q3,Accommodation and Food Services,Male,30400
2006Q4,Accommodation and Food Services,Male,32400
2007Q1,Accommodation and Food Services,Male,31700
2007Q2,Accommodation and Food Services,Male,32900
2007Q3,Accommodation and Food Services,Male,34500
2007Q4,Accommodation and Food Services,Male,36200
2008Q1,Accommodation and Food Services,Male,34100
2008Q2,Accommodation and Food Services,Male,34500
2008Q3,Accommodation and Food Services,Male,34600
2008Q4,Accommodation and Food Services,Male,33500
2009Q1,Accommodation and Food Services,Male,34000
2009Q2,Accommodation and Food Services,Male,32600
2009Q3,Accommodation and Food Services,Male,30900
2009Q4,Accommodation and Food Services,Male,31400
2010Q1,Accommodation and Food Services,Male,33000
2010Q2,Accommodation and Food Services,Male,31500
2010Q3,Accommodation and Food Services,Male,30400
2010Q4,Accommodation and Food Services,Male,29700
2011Q1,Accommodation and Food Services,Male,30500
2011Q2,Accommodation and Food Services,Male,27000
2011Q3,Accommodation and Food Services,Male,27700
2011Q4,Accommodation and Food Services,Male,29500
2012Q1,Accommodation and Food Services,Male,28400
2012Q2,Accommodation and Food Services,Male,28900
2012Q3,Accommodation and Food Services,Male,30300
2012Q4,Accommodation and Food Services,Male,30300
2013Q1,Accommodation and Food Services,Male,29400
2013Q2,Accommodation and Food Services,Male,28700
2013Q3,Accommodation and Food Services,Male,28900
2013Q4,Accommodation and Food Services,Male,30800
2014Q1,Accommodation and Food Services,Male,31200
2014Q2,Accommodation and Food Services,Male,32100
2014Q3,Accommodation and Food Services,Male,31900
2014Q4,Accommodation and Food Services,Male,32500
2015Q1,Accommodation and Food Services,Male,33900
2015Q2,Accommodation and Food Services,Male,32000
2015Q3,Accommodation and Food Services,Male,32700
2015Q4,Accommodation and Food Services,Male,34400
2016Q1,Accommodation and Food Services,Male,36200
2016Q2,Accommodation and Food Services,Male,37000
2016Q3,Accommodation and Food Services,Male,38100
2016Q4,Accommodation and Food Services,Male,38500
2017Q1,Accommodation and Food Services,Male,40100
2017Q2,Accommodation and Food Services,Male,40700
2017Q3,Accommodation and Food Services,Male,41800
2017Q4,Accommodation and Food Services,Male,38000
2018Q1,Accommodation and Food Services,Male,38600
2018Q2,Accommodation and Food Services,Male,36400
2018Q3,Accommodation and Food Services,Male,38200
2018Q4,Accommodation and Food Services,Male,36600
1989Q1,Accommodation and Food Services,Female,24800
1989Q2,Accommodation and Food Services,Female,24500
1989Q3,Accommodation and Food Services,Female,24500
1989Q4,Accommodation and Food Services,Female,24400
1990Q1,Accommodation and Food Services,Female,24600
1990Q2,Accommodation and Food Services,Female,22800
1990Q3,Accommodation and Food Services,Female,22800
1990Q4,Accommodation and Food Services,Female,23500
1991Q1,Accommodation and Food Services,Female,24800
1991Q2,Accommodation and Food Services,Female,22400
1991Q3,Accommodation and Food Services,Female,21800
1991Q4,Accommodation and Food Services,Female,22600
1992Q1,Accommodation and Food Services,Female,24800
1992Q2,Accommodation and Food Services,Female,23100
1992Q3,Accommodation and Food Services,Female,22900
1992Q4,Accommodation and Food Services,Female,23900
1993Q1,Accommodation and Food Services,Female,25400
1993Q2,Accommodation and Food Services,Female,23700
1993Q3,Accommodation and Food Services,Female,24000
1993Q4,Accommodation and Food Services,Female,24900
1994Q1,Accommodation and Food Services,Female,27500
1994Q2,Accommodation and Food Services,Female,25500
1994Q3,Accommodation and Food Services,Female,25500
1994Q4,Accommodation and Food Services,Female,27100
1995Q1,Accommodation and Food Services,Female,29200
1995Q2,Accommodation and Food Services,Female,27100
1995Q3,Accommodation and Food Services,Female,28200
1995Q4,Accommodation and Food Services,Female,29500
1996Q1,Accommodation and Food Services,Female,31000
1996Q2,Accommodation and Food Services,Female,29500
1996Q3,Accommodation and Food Services,Female,30800
1996Q4,Accommodation and Food Services,Female,33000
1997Q1,Accommodation and Food Services,Female,31200
1997Q2,Accommodation and Food Services,Female,31300
1997Q3,Accommodation and Food Services,Female,32500
1997Q4,Accommodation and Food Services,Female,32300
1998Q1,Accommodation and Food Services,Female,32300
1998Q2,Accommodation and Food Services,Female,32200
1998Q3,Accommodation and Food Services,Female,32800
1998Q4,Accommodation and Food Services,Female,34300
1999Q1,Accommodation and Food Services,Female,34600
1999Q2,Accommodation and Food Services,Female,33300
1999Q3,Accommodation and Food Services,Female,33300
1999Q4,Accommodation and Food Services,Female,36800
2000Q1,Accommodation and Food Services,Female,36100
2000Q2,Accommodation and Food Services,Female,35200
2000Q3,Accommodation and Food Services,Female,37300
2000Q4,Accommodation and Food Services,Female,37300
2001Q1,Accommodation and Food Services,Female,35900
2001Q2,Accommodation and Food Services,Female,33600
2001Q3,Accommodation and Food Services,Female,35300
2001Q4,Accommodation and Food Services,Female,36600
2002Q1,Accommodation and Food Services,Female,37400
2002Q2,Accommodation and Food Services,Female,38300
2002Q3,Accommodation and Food Services,Female,37300
2002Q4,Accommodation and Food Services,Female,39700
2003Q1,Accommodation and Food Services,Female,41600
2003Q2,Accommodation and Food Services,Female,38200
2003Q3,Accommodation and Food Services,Female,37200
2003Q4,Accommodation and Food Services,Female,40900
2004Q1,Accommodation and Food Services,Female,41500
2004Q2,Accommodation and Food Services,Female,38900
2004Q3,Accommodation and Food Services,Female,39200
2004Q4,Accommodation and Food Services,Female,42900
2005Q1,Accommodation and Food Services,Female,42800
2005Q2,Accommodation and Food Services,Female,42500
2005Q3,Accommodation and Food Services,Female,43300
2005Q4,Accommodation and Food Services,Female,44800
2006Q1,Accommodation and Food Services,Female,47200
2006Q2,Accommodation and Food Services,Female,43700
2006Q3,Accommodation and Food Services,Female,44100
2006Q4,Accommodation and Food Services,Female,46200
2007Q1,Accommodation and Food Services,Female,48300
2007Q2,Accommodation and Food Services,Female,46300
2007Q3,Accommodation and Food Services,Female,45300
2007Q4,Accommodation and Food Services,Female,49300
2008Q1,Accommodation and Food Services,Female,47600
2008Q2,Accommodation and Food Services,Female,47300
2008Q3,Accommodation and Food Services,Female,46700
2008Q4,Accommodation and Food Services,Female,49600
2009Q1,Accommodation and Food Services,Female,45400
2009Q2,Accommodation and Food Services,Female,42700
2009Q3,Accommodation and Food Services,Female,43000
2009Q4,Accommodation and Food Services,Female,44500
2010Q1,Accommodation and Food Services,Female,47000
2010Q2,Accommodation and Food Services,Female,43000
2010Q3,Accommodation and Food Services,Female,41900
2010Q4,Accommodation and Food Services,Female,43400
2011Q1,Accommodation and Food Services,Female,42300
2011Q2,Accommodation and Food Services,Female,40400
2011Q3,Accommodation and Food Services,Female,39900
2011Q4,Accommodation and Food Services,Female,42600
2012Q1,Accommodation and Food Services,Female,41800
2012Q2,Accommodation and Food Services,Female,41100
2012Q3,Accommodation and Food Services,Female,43400
2012Q4,Accommodation and Food Services,Female,42700
2013Q1,Accommodation and Food Services,Female,42900
2013Q2,Accommodation and Food Services,Female,41600
2013Q3,Accommodation and Food Services,Female,41800
2013Q4,Accommodation and Food Services,Female,42100
2014Q1,Accommodation and Food Services,Female,45200
2014Q2,Accommodation and Food Services,Female,46500
2014Q3,Accommodation and Food Services,Female,47200
2014Q4,Accommodation and Food Services,Female,48500
2015Q1,Accommodation and Food Services,Female,50800
2015Q2,Accommodation and Food Services,Female,46700
2015Q3,Accommodation and Food Services,Female,48300
2015Q4,Accommodation and Food Services,Female,50900
2016Q1,Accommodation and Food Services,Female,53100
2016Q2,Accommodation and Food Services,Female,52600
2016Q3,Accommodation and Food Services,Female,53300
2016Q4,Accommodation and Food Services,Female,55900
2017Q1,Accommodation and Food Services,Female,60400
2017Q2,Accommodation and Food Services,Female,58500
2017Q3,Accommodation and Food Services,Female,56800
2017Q4,Accommodation and Food Services,Female,58400
2018Q1,Accommodation and Food Services,Female,56800
2018Q2,Accommodation and Food Services,Female,55600
2018Q3,Accommodation and Food Services,Female,55800
2018Q4,Accommodation and Food Services,Female,56000
1989Q1,Accommodation and Food Services,Both Sexes,43300
1989Q2,Accommodation and Food Services,Both Sexes,42200
1989Q3,Accommodation and Food Services,Both Sexes,42100
1989Q4,Accommodation and Food Services,Both Sexes,41300
1990Q1,Accommodation and Food Services,Both Sexes,41800
1990Q2,Accommodation and Food Services,Both Sexes,38700
1990Q3,Accommodation and Food Services,Both Sexes,39200
1990Q4,Accommodation and Food Services,Both Sexes,40100
1991Q1,Accommodation and Food Services,Both Sexes,42600
1991Q2,Accommodation and Food Services,Both Sexes,38400
1991Q3,Accommodation and Food Services,Both Sexes,37800
1991Q4,Accommodation and Food Services,Both Sexes,38800
1992Q1,Accommodation and Food Services,Both Sexes,42900
1992Q2,Accommodation and Food Services,Both Sexes,39900
1992Q3,Accommodation and Food Services,Both Sexes,39700
1992Q4,Accommodation and Food Services,Both Sexes,41200
1993Q1,Accommodation and Food Services,Both Sexes,43600
1993Q2,Accommodation and Food Services,Both Sexes,41000
1993Q3,Accommodation and Food Services,Both Sexes,41400
1993Q4,Accommodation and Food Services,Both Sexes,42600
1994Q1,Accommodation and Food Services,Both Sexes,46900
1994Q2,Accommodation and Food Services,Both Sexes,43900
1994Q3,Accommodation and Food Services,Both Sexes,43800
1994Q4,Accommodation and Food Services,Both Sexes,46300
1995Q1,Accommodation and Food Services,Both Sexes,49900
1995Q2,Accommodation and Food Services,Both Sexes,46900
1995Q3,Accommodation and Food Services,Both Sexes,48700
1995Q4,Accommodation and Food Services,Both Sexes,50900
1996Q1,Accommodation and Food Services,Both Sexes,53100
1996Q2,Accommodation and Food Services,Both Sexes,50900
1996Q3,Accommodation and Food Services,Both Sexes,53400
1996Q4,Accommodation and Food Services,Both Sexes,57800
1997Q1,Accommodation and Food Services,Both Sexes,53800
1997Q2,Accommodation and Food Services,Both Sexes,54000
1997Q3,Accommodation and Food Services,Both Sexes,55900
1997Q4,Accommodation and Food Services,Both Sexes,55600
1998Q1,Accommodation and Food Services,Both Sexes,56100
1998Q2,Accommodation and Food Services,Both Sexes,55200
1998Q3,Accommodation and Food Services,Both Sexes,56500
1998Q4,Accommodation and Food Services,Both Sexes,58600
1999Q1,Accommodation and Food Services,Both Sexes,59100
1999Q2,Accommodation and Food Services,Both Sexes,56800
1999Q3,Accommodation and Food Services,Both Sexes,57000
1999Q4,Accommodation and Food Services,Both Sexes,62400
2000Q1,Accommodation and Food Services,Both Sexes,61200
2000Q2,Accommodation and Food Services,Both Sexes,59900
2000Q3,Accommodation and Food Services,Both Sexes,62400
2000Q4,Accommodation and Food Services,Both Sexes,63200
2001Q1,Accommodation and Food Services,Both Sexes,61700
2001Q2,Accommodation and Food Services,Both Sexes,61200
2001Q3,Accommodation and Food Services,Both Sexes,61400
2001Q4,Accommodation and Food Services,Both Sexes,63400
2002Q1,Accommodation and Food Services,Both Sexes,64100
2002Q2,Accommodation and Food Services,Both Sexes,65500
2002Q3,Accommodation and Food Services,Both Sexes,64000
2002Q4,Accommodation and Food Services,Both Sexes,67300
2003Q1,Accommodation and Food Services,Both Sexes,69300
2003Q2,Accommodation and Food Services,Both Sexes,65000
2003Q3,Accommodation and Food Services,Both Sexes,63500
2003Q4,Accommodation and Food Services,Both Sexes,67700
2004Q1,Accommodation and Food Services,Both Sexes,70800
2004Q2,Accommodation and Food Services,Both Sexes,65200
2004Q3,Accommodation and Food Services,Both Sexes,66300
2004Q4,Accommodation and Food Services,Both Sexes,70900
2005Q1,Accommodation and Food Services,Both Sexes,72100
2005Q2,Accommodation and Food Services,Both Sexes,71900
2005Q3,Accommodation and Food Services,Both Sexes,72600
2005Q4,Accommodation and Food Services,Both Sexes,75800
2006Q1,Accommodation and Food Services,Both Sexes,80200
2006Q2,Accommodation and Food Services,Both Sexes,74400
2006Q3,Accommodation and Food Services,Both Sexes,74500
2006Q4,Accommodation and Food Services,Both Sexes,78700
2007Q1,Accommodation and Food Services,Both Sexes,80000
2007Q2,Accommodation and Food Services,Both Sexes,79200
2007Q3,Accommodation and Food Services,Both Sexes,79800
2007Q4,Accommodation and Food Services,Both Sexes,85500
2008Q1,Accommodation and Food Services,Both Sexes,81700
2008Q2,Accommodation and Food Services,Both Sexes,81800
2008Q3,Accommodation and Food Services,Both Sexes,81400
2008Q4,Accommodation and Food Services,Both Sexes,83200
2009Q1,Accommodation and Food Services,Both Sexes,79400
2009Q2,Accommodation and Food Services,Both Sexes,75400
2009Q3,Accommodation and Food Services,Both Sexes,73900
2009Q4,Accommodation and Food Services,Both Sexes,75900
2010Q1,Accommodation and Food Services,Both Sexes,80000
2010Q2,Accommodation and Food Services,Both Sexes,74500
2010Q3,Accommodation and Food Services,Both Sexes,72300
2010Q4,Accommodation and Food Services,Both Sexes,73100
2011Q1,Accommodation and Food Services,Both Sexes,72800
2011Q2,Accommodation and Food Services,Both Sexes,67400
2011Q3,Accommodation and Food Services,Both Sexes,67700
2011Q4,Accommodation and Food Services,Both Sexes,72100
2012Q1,Accommodation and Food Services,Both Sexes,70300
2012Q2,Accommodation and Food Services,Both Sexes,69900
2012Q3,Accommodation and Food Services,Both Sexes,73600
2012Q4,Accommodation and Food Services,Both Sexes,73000
2013Q1,Accommodation and Food Services,Both Sexes,72300
2013Q2,Accommodation and Food Services,Both Sexes,70300
2013Q3,Accommodation and Food Services,Both Sexes,70700
2013Q4,Accommodation and Food Services,Both Sexes,72900
2014Q1,Accommodation and Food Services,Both Sexes,76500
2014Q2,Accommodation and Food Services,Both Sexes,78600
2014Q3,Accommodation and Food Services,Both Sexes,79100
2014Q4,Accommodation and Food Services,Both Sexes,81000
2015Q1,Accommodation and Food Services,Both Sexes,84700
2015Q2,Accommodation and Food Services,Both Sexes,78700
2015Q3,Accommodation and Food Services,Both Sexes,81000
2015Q4,Accommodation and Food Services,Both Sexes,85400
2016Q1,Accommodation and Food Services,Both Sexes,89300
2016Q2,Accommodation and Food Services,Both Sexes,89500
2016Q3,Accommodation and Food Services,Both Sexes,91400
2016Q4,Accommodation and Food Services,Both Sexes,94400
2017Q1,Accommodation and Food Services,Both Sexes,100500
2017Q2,Accommodation and Food Services,Both Sexes,99200
2017Q3,Accommodation and Food Services,Both Sexes,98600
2017Q4,Accommodation and Food Services,Both Sexes,96400
2018Q1,Accommodation and Food Services,Both Sexes,95400
2018Q2,Accommodation and Food Services,Both Sexes,92000
2018Q3,Accommodation and Food Services,Both Sexes,94000
2018Q4,Accommodation and Food Services,Both Sexes,92600
1989Q1,"Transport, Postal and Warehousing",Male,43500
1989Q2,"Transport, Postal and Warehousing",Male,41700
1989Q3,"Transport, Postal and Warehousing",Male,41700
1989Q4,"Transport, Postal and Warehousing",Male,39700
1990Q1,"Transport, Postal and Warehousing",Male,39900
1990Q2,"Transport, Postal and Warehousing",Male,39200
1990Q3,"Transport, Postal and Warehousing",Male,39600
1990Q4,"Transport, Postal and Warehousing",Male,40100
1991Q1,"Transport, Postal and Warehousing",Male,40100
1991Q2,"Transport, Postal and Warehousing",Male,39500
1991Q3,"Transport, Postal and Warehousing",Male,37700
1991Q4,"Transport, Postal and Warehousing",Male,37700
1992Q1,"Transport, Postal and Warehousing",Male,36800
1992Q2,"Transport, Postal and Warehousing",Male,37600
1992Q3,"Transport, Postal and Warehousing",Male,35900
1992Q4,"Transport, Postal and Warehousing",Male,36000
1993Q1,"Transport, Postal and Warehousing",Male,36000
1993Q2,"Transport, Postal and Warehousing",Male,34900
1993Q3,"Transport, Postal and Warehousing",Male,34600
1993Q4,"Transport, Postal and Warehousing",Male,35100
1994Q1,"Transport, Postal and Warehousing",Male,35600
1994Q2,"Transport, Postal and Warehousing",Male,35200
1994Q3,"Transport, Postal and Warehousing",Male,35600
1994Q4,"Transport, Postal and Warehousing",Male,35800
1995Q1,"Transport, Postal and Warehousing",Male,36700
1995Q2,"Transport, Postal and Warehousing",Male,36400
1995Q3,"Transport, Postal and Warehousing",Male,36200
1995Q4,"Transport, Postal and Warehousing",Male,36900
1996Q1,"Transport, Postal and Warehousing",Male,37300
1996Q2,"Transport, Postal and Warehousing",Male,38100
1996Q3,"Transport, Postal and Warehousing",Male,39400
1996Q4,"Transport, Postal and Warehousing",Male,39300
1997Q1,"Transport, Postal and Warehousing",Male,38600
1997Q2,"Transport, Postal and Warehousing",Male,39800
1997Q3,"Transport, Postal and Warehousing",Male,39800
1997Q4,"Transport, Postal and Warehousing",Male,40400
1998Q1,"Transport, Postal and Warehousing",Male,38800
1998Q2,"Transport, Postal and Warehousing",Male,39000
1998Q3,"Transport, Postal and Warehousing",Male,39300
1998Q4,"Transport, Postal and Warehousing",Male,38600
1999Q1,"Transport, Postal and Warehousing",Male,39600
1999Q2,"Transport, Postal and Warehousing",Male,39300
1999Q3,"Transport, Postal and Warehousing",Male,39700
1999Q4,"Transport, Postal and Warehousing",Male,40800
2000Q1,"Transport, Postal and Warehousing",Male,41700
2000Q2,"Transport, Postal and Warehousing",Male,43400
2000Q3,"Transport, Postal and Warehousing",Male,41500
2000Q4,"Transport, Postal and Warehousing",Male,41900
2001Q1,"Transport, Postal and Warehousing",Male,41800
2001Q2,"Transport, Postal and Warehousing",Male,45000
2001Q3,"Transport, Postal and Warehousing",Male,43100
2001Q4,"Transport, Postal and Warehousing",Male,44900
2002Q1,"Transport, Postal and Warehousing",Male,45500
2002Q2,"Transport, Postal and Warehousing",Male,45900
2002Q3,"Transport, Postal and Warehousing",Male,44300
2002Q4,"Transport, Postal and Warehousing",Male,44400
2003Q1,"Transport, Postal and Warehousing",Male,43400
2003Q2,"Transport, Postal and Warehousing",Male,46000
2003Q3,"Transport, Postal and Warehousing",Male,45300
2003Q4,"Transport, Postal and Warehousing",Male,45900
2004Q1,"Transport, Postal and Warehousing",Male,43700
2004Q2,"Transport, Postal and Warehousing",Male,45900
2004Q3,"Transport, Postal and Warehousing",Male,44300
2004Q4,"Transport, Postal and Warehousing",Male,44700
2005Q1,"Transport, Postal and Warehousing",Male,43400
2005Q2,"Transport, Postal and Warehousing",Male,40500
2005Q3,"Transport, Postal and Warehousing",Male,45000
2005Q4,"Transport, Postal and Warehousing",Male,44500
2006Q1,"Transport, Postal and Warehousing",Male,45000
2006Q2,"Transport, Postal and Warehousing",Male,47100
2006Q3,"Transport, Postal and Warehousing",Male,45600
2006Q4,"Transport, Postal and Warehousing",Male,45100
2007Q1,"Transport, Postal and Warehousing",Male,44200
2007Q2,"Transport, Postal and Warehousing",Male,45500
2007Q3,"Transport, Postal and Warehousing",Male,43500
2007Q4,"Transport, Postal and Warehousing",Male,43800
2008Q1,"Transport, Postal and Warehousing",Male,44500
2008Q2,"Transport, Postal and Warehousing",Male,45900
2008Q3,"Transport, Postal and Warehousing",Male,42700
2008Q4,"Transport, Postal and Warehousing",Male,43400
2009Q1,"Transport, Postal and Warehousing",Male,43400
2009Q2,"Transport, Postal and Warehousing",Male,43200
2009Q3,"Transport, Postal and Warehousing",Male,42100
2009Q4,"Transport, Postal and Warehousing",Male,43500
2010Q1,"Transport, Postal and Warehousing",Male,45700
2010Q2,"Transport, Postal and Warehousing",Male,45300
2010Q3,"Transport, Postal and Warehousing",Male,45100
2010Q4,"Transport, Postal and Warehousing",Male,44100
2011Q1,"Transport, Postal and Warehousing",Male,48200
