YearQuarter,Industry,Gender,Number of Working Proprietors,Number of Part-Time Paid Employees,Number of Full-Time Paid Employees,Total Number of People in Employment
1993Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,13200,14300
1993Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,13100,14200
1994Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,13400,14500
1994Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,13300,14500
1994Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,12800,14000
1994Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,12700,13900
1995Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,13100,14200
1995Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12800,13900
1995Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12600,13700
1995Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12400,13600
1996Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12200,13300
1996Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12100,13200
1996Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12100,13200
1996Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12200,13400
1997Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,12600,13800
1997Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,12000,13100
1997Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,11600,12700
1997Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,11100,12100
1998Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,10800,11900
1998Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,10900,11900
1998Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,10500,11600
1998Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,700,9900,10900
1999Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,800,10500,11600
1999Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1100,9100,10400
1999Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8700,9700
1999Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,800,8200,9200
2000Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,800,8600,9600
2000Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,800,9100,10200
2000Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,800,8200,9300
2000Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,8500,9600
2001Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,8500,9700
2001Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8700,10000
2001Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8400,9700
2001Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8500,9700
2002Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8700,10000
2002Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8400,9600
2002Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8200,9300
2002Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8300,9400
2003Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8500,9700
2003Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8400,9600
2003Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8100,9300
2003Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8400,9700
2004Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,8300,9500
2004Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,8200,9400
2004Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,8200,9500
2004Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,900,7900,9100
2005Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8600,9900
2005Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8500,9800
2005Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1000,8400,9600
2005Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8200,9600
2006Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,8100,9400
2006Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,7700,9100
2006Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,7700,9000
2006Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1000,7600,9100
2007Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1000,7700,9100
2007Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1000,7300,8700
2007Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1000,7400,8800
2007Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,400,900,7600,8800
2008Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,400,800,7600,8800
2008Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,400,800,7400,8600
2008Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,400,900,7300,8600
2008Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,400,800,7500,8700
2009Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,500,900,6900,8200
2009Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,400,800,6400,7700
2009Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,400,900,6900,8200
2009Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,8100,9600
2010Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,8300,9700
2010Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1300,8200,9800
2010Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,8400,9800
2010Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,900,8700,9900
2011Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,9300,10600
2011Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1900,9300,11500
2011Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,10000,11400
2011Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1300,10400,12000
2012Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1800,10700,12800
2012Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1400,11300,12900
2012Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1600,11800,13700
2012Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1600,12200,14100
2013Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1600,11400,13300
2013Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1300,10500,12000
2013Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1100,10700,12000
2013Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1100,10900,12300
2014Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,11700,13100
2014Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1200,11900,13300
2014Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1100,11800,13200
2014Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1200,12400,13800
2015Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,12300,13800
2015Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,12600,14000
2015Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1000,12600,13800
2015Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,12700,14100
2016Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,12600,14000
2016Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,12500,13900
2016Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,12500,13900
2016Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1200,12600,14100
2017Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1100,12700,14100
2017Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1700,13000,15000
2017Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1300,13400,15100
2017Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,300,1400,13600,15300
2018Q1,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1500,14000,15800
2018Q2,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1400,14400,16200
2018Q3,"Electricity, Gas, Water and Waste Services",Both Sexes,400,1300,14400,16100
2018Q4,"Electricity, Gas, Water and Waste Services",Both Sexes,200,1100,14500,15900
1989Q1,Construction,Male,10800,1700,49400,61900
1989Q2,Construction,Male,10800,1800,48000,60600
1989Q3,Construction,Male,10900,1800,47100,59800
1989Q4,Construction,Male,10900,1900,45100,58000
1990Q1,Construction,Male,11000,1800,45800,58500
1990Q2,Construction,Male,10900,1900,43600,56400
1990Q3,Construction,Male,10800,1700,44900,57400
1990Q4,Construction,Male,10800,1900,42900,55600
1991Q1,Construction,Male,10700,1700,45600,58000
1991Q2,Construction,Male,10500,1800,41100,53400
1991Q3,Construction,Male,10400,1800,36900,49000
1991Q4,Construction,Male,10200,1700,36600,48500
1992Q1,Construction,Male,10000,1700,37900,49600
1992Q2,Construction,Male,10100,1800,36000,47900
1992Q3,Construction,Male,10200,1800,34100,46100
1992Q4,Construction,Male,10300,2100,35100,47400
1993Q1,Construction,Male,10400,1700,38200,50300
1993Q2,Construction,Male,10700,2000,37300,50000
1993Q3,Construction,Male,11100,1800,36200,49100
1993Q4,Construction,Male,11500,2200,37100,50800
1994Q1,Construction,Male,11900,2000,40700,54500
1994Q2,Construction,Male,11900,2100,40600,54600
1994Q3,Construction,Male,12000,2100,39800,53900
1994Q4,Construction,Male,12100,2100,40900,55100
1995Q1,Construction,Male,12200,2000,46100,60300
1995Q2,Construction,Male,12300,2000,42800,57100
1995Q3,Construction,Male,12400,2200,44400,59000
1995Q4,Construction,Male,12500,2300,45600,60400
1996Q1,Construction,Male,12600,2100,51200,65900
1996Q2,Construction,Male,12700,2100,45400,60300
1996Q3,Construction,Male,12900,2100,46500,61500
1996Q4,Construction,Male,13000,2300,46700,62100
1997Q1,Construction,Male,13200,2200,51400,66800
1997Q2,Construction,Male,13200,2200,45100,60500
1997Q3,Construction,Male,13200,2300,46000,61500
1997Q4,Construction,Male,13200,2200,47100,62500
1998Q1,Construction,Male,13300,2100,55400,70800
1998Q2,Construction,Male,13200,2500,49300,65000
1998Q3,Construction,Male,13200,2500,49100,64800
1998Q4,Construction,Male,13200,2500,50100,65800
1999Q1,Construction,Male,13200,2500,52100,67800
1999Q2,Construction,Male,12100,2700,52100,66900
1999Q3,Construction,Male,10900,2500,51900,65300
1999Q4,Construction,Male,10700,1900,54000,66600
2000Q1,Construction,Male,9800,3300,56600,69700
2000Q2,Construction,Male,9500,3800,55400,68800
2000Q3,Construction,Male,10000,2200,56000,68200
2000Q4,Construction,Male,8900,2400,55800,67100
2001Q1,Construction,Male,8900,2100,54400,65300
2001Q2,Construction,Male,8300,1700,56300,66300
2001Q3,Construction,Male,10100,2700,55000,67800
2001Q4,Construction,Male,12600,4400,55400,72400
2002Q1,Construction,Male,11000,3400,57300,71800
2002Q2,Construction,Male,11000,4000,60400,75400
2002Q3,Construction,Male,10000,3400,59200,72600
2002Q4,Construction,Male,10400,4500,59600,74500
2003Q1,Construction,Male,10700,3600,60400,74700
2003Q2,Construction,Male,10800,4100,61000,75900
2003Q3,Construction,Male,12000,2500,61700,76200
2003Q4,Construction,Male,12000,3200,64200,79400
2004Q1,Construction,Male,13600,3300,65700,82600
2004Q2,Construction,Male,15200,4100,71800,91100
2004Q3,Construction,Male,14900,2600,70900,88400
2004Q4,Construction,Male,16800,3000,75900,95800
2005Q1,Construction,Male,14300,3700,78100,96100
2005Q2,Construction,Male,13800,5000,76400,95200
2005Q3,Construction,Male,14000,5000,77200,96200
2005Q4,Construction,Male,13600,6600,78100,98300
2006Q1,Construction,Male,12800,5100,83000,100900
2006Q2,Construction,Male,14300,6100,82700,103000
2006Q3,Construction,Male,12700,5000,83800,101500
2006Q4,Construction,Male,13300,5900,85200,104400
2007Q1,Construction,Male,14800,6200,88200,109200
2007Q2,Construction,Male,14700,6400,91300,112500
2007Q3,Construction,Male,14400,5200,91300,110900
2007Q4,Construction,Male,14000,4700,93100,111800
2008Q1,Construction,Male,14800,3800,95900,114500
2008Q2,Construction,Male,14700,4700,93100,112500
2008Q3,Construction,Male,16700,4800,91600,113200
2008Q4,Construction,Male,15700,4400,90500,110600
2009Q1,Construction,Male,15900,3400,86800,106100
2009Q2,Construction,Male,18800,5400,88200,112300
2009Q3,Construction,Male,17200,4500,84600,106300
2009Q4,Construction,Male,17000,3800,78800,99700
2010Q1,Construction,Male,14700,3100,79400,97200
2010Q2,Construction,Male,15100,3200,75000,93300
2010Q3,Construction,Male,16100,4100,75100,95300
2010Q4,Construction,Male,16000,2800,75800,94500
2011Q1,Construction,Male,15000,4000,80000,99000
2011Q2,Construction,Male,14300,2100,80000,96300
2011Q3,Construction,Male,14600,3100,77300,95000
2011Q4,Construction,Male,13700,3900,79000,96600
2012Q1,Construction,Male,12900,3800,79700,96500
2012Q2,Construction,Male,13700,3700,82800,100100
2012Q3,Construction,Male,14700,4500,82000,101300
2012Q4,Construction,Male,14600,4900,83500,102900
2013Q1,Construction,Male,15100,5700,85800,106600
2013Q2,Construction,Male,15700,6700,84900,107300
2013Q3,Construction,Male,15600,6300,84100,106100
2013Q4,Construction,Male,14800,6700,86600,108200
2014Q1,Construction,Male,15300,7000,90400,112800
2014Q2,Construction,Male,14200,5400,92900,112500
2014Q3,Construction,Male,16100,5400,94500,115900
2014Q4,Construction,Male,15800,3900,96300,116100
2015Q1,Construction,Male,15500,5800,100500,121900
2015Q2,Construction,Male,14900,6300,101300,122400
2015Q3,Construction,Male,16500,7100,103700,127300
2015Q4,Construction,Male,16400,5800,109200,131400
2016Q1,Construction,Male,16700,7800,105200,129700
2016Q2,Construction,Male,15500,7700,104100,127300
2016Q3,Construction,Male,17200,7200,103100,127500
2016Q4,Construction,Male,17600,8500,110700,136700
2017Q1,Construction,Male,17400,8200,116800,142300
2017Q2,Construction,Male,17500,8200,115900,141500
2017Q3,Construction,Male,17500,8600,114400,140500
2017Q4,Construction,Male,17500,6000,115800,139400
2018Q1,Construction,Male,17200,4300,115000,136500
2018Q2,Construction,Male,17700,4200,117700,139600
2018Q3,Construction,Male,17700,4600,116900,139100
2018Q4,Construction,Male,16600,5800,121300,143700
1989Q1,Construction,Female,3100,2700,3000,8900
1989Q2,Construction,Female,3100,2800,2800,8800
1989Q3,Construction,Female,3200,2800,2800,8800
1989Q4,Construction,Female,3200,2700,2700,8600
1990Q1,Construction,Female,3200,2800,2700,8700
1990Q2,Construction,Female,3200,2600,2700,8600
1990Q3,Construction,Female,3200,2500,2700,8400
1990Q4,Construction,Female,3200,2600,2600,8500
1991Q1,Construction,Female,3200,2600,2900,8700
1991Q2,Construction,Female,3100,2500,2600,8300
1991Q3,Construction,Female,3100,2500,2600,8100
1991Q4,Construction,Female,3000,2500,2500,8100
1992Q1,Construction,Female,3000,2400,2600,8000
1992Q2,Construction,Female,3000,2500,2500,8000
1992Q3,Construction,Female,3000,2400,2300,7800
1992Q4,Construction,Female,3000,2500,2300,7900
1993Q1,Construction,Female,3100,2400,2600,8100
1993Q2,Construction,Female,3300,2300,2500,8000
1993Q3,Construction,Female,3400,2300,2400,8200
1993Q4,Construction,Female,3600,2400,2400,8500
1994Q1,Construction,Female,3800,2400,2800,9000
1994Q2,Construction,Female,3900,2400,2700,8900
1994Q3,Construction,Female,3900,2500,2700,9100
1994Q4,Construction,Female,4000,2500,2800,9200
1995Q1,Construction,Female,4000,2600,3200,9800
1995Q2,Construction,Female,4100,2400,2800,9300
1995Q3,Construction,Female,4100,2500,3000,9600
1995Q4,Construction,Female,4100,2500,3200,9900
1996Q1,Construction,Female,4200,2600,3600,10400
1996Q2,Construction,Female,4200,2500,3200,10000
1996Q3,Construction,Female,4300,2600,3400,10300
1996Q4,Construction,Female,4300,2600,3400,10300
1997Q1,Construction,Female,4300,2600,3800,10800
1997Q2,Construction,Female,4400,2600,3300,10200
1997Q3,Construction,Female,4400,2600,3400,10500
1997Q4,Construction,Female,4500,2700,3600,10800
1998Q1,Construction,Female,4500,2700,4200,11400
1998Q2,Construction,Female,4500,2800,3700,11000
1998Q3,Construction,Female,4400,2800,3800,11000
1998Q4,Construction,Female,4400,2700,3900,11000
1999Q1,Construction,Female,4300,2700,3700,10700
1999Q2,Construction,Female,4400,2700,3900,11000
1999Q3,Construction,Female,4400,2800,3800,11000
1999Q4,Construction,Female,4100,2900,4300,11300
2000Q1,Construction,Female,3800,2700,4000,10500
2000Q2,Construction,Female,3100,2800,4600,10500
2000Q3,Construction,Female,3600,2700,4700,11000
2000Q4,Construction,Female,3900,2700,4900,11500
2001Q1,Construction,Female,3400,2300,5600,11400
2001Q2,Construction,Female,3500,2200,5300,11000
2001Q3,Construction,Female,4000,2300,5200,11400
2001Q4,Construction,Female,4500,2700,5300,12500
2002Q1,Construction,Female,4500,2500,5500,12500
2002Q2,Construction,Female,4600,2700,6100,13500
2002Q3,Construction,Female,4500,2600,6200,13300
2002Q4,Construction,Female,5000,2600,6100,13700
2003Q1,Construction,Female,4800,2600,6300,13700
2003Q2,Construction,Female,4900,3300,6100,14200
2003Q3,Construction,Female,4700,2700,6100,13500
2003Q4,Construction,Female,4900,3300,6100,14400
2004Q1,Construction,Female,5700,3400,6000,15000
2004Q2,Construction,Female,6100,3600,6200,15900
2004Q3,Construction,Female,5400,3500,5900,14800
2004Q4,Construction,Female,6200,3600,5500,15400
2005Q1,Construction,Female,6000,3100,6500,15600
2005Q2,Construction,Female,5700,3200,6300,15200
2005Q3,Construction,Female,5600,2600,5900,14100
2005Q4,Construction,Female,4900,3600,6000,14500
2006Q1,Construction,Female,5700,3200,6100,15100
2006Q2,Construction,Female,6300,3800,6100,16300
2006Q3,Construction,Female,6500,3900,6500,16900
2006Q4,Construction,Female,6300,3900,7200,17400
2007Q1,Construction,Female,6700,3600,6400,16800
2007Q2,Construction,Female,7200,4500,6800,18500
2007Q3,Construction,Female,7000,4200,6500,17800
2007Q4,Construction,Female,6700,4500,7200,18400
2008Q1,Construction,Female,6000,4300,7100,17400
2008Q2,Construction,Female,7100,4100,7300,18500
2008Q3,Construction,Female,6600,4200,7000,17800
2008Q4,Construction,Female,6900,4200,6600,17700
2009Q1,Construction,Female,6200,3700,6400,16200
2009Q2,Construction,Female,8300,3600,6400,18200
2009Q3,Construction,Female,7000,4100,6600,17600
2009Q4,Construction,Female,6200,4900,6400,17400
2010Q1,Construction,Female,4800,3600,6500,14900
2010Q2,Construction,Female,5100,4500,6200,15800
2010Q3,Construction,Female,5200,4200,6100,15500
2010Q4,Construction,Female,5300,4400,6200,15900
2011Q1,Construction,Female,5700,3900,7600,17100
2011Q2,Construction,Female,5200,3400,7100,15600
2011Q3,Construction,Female,6400,3000,8700,18100
2011Q4,Construction,Female,6700,3700,8000,18400
2012Q1,Construction,Female,5800,3900,7900,17600
2012Q2,Construction,Female,5900,3600,8400,17900
2012Q3,Construction,Female,6300,3600,8600,18500
2012Q4,Construction,Female,6400,4500,9000,19900
2013Q1,Construction,Female,7400,4800,9500,21800
2013Q2,Construction,Female,6400,4800,9100,20300
2013Q3,Construction,Female,6400,5100,8700,20100
2013Q4,Construction,Female,6200,5900,9000,21100
2014Q1,Construction,Female,6000,4700,9400,20100
2014Q2,Construction,Female,6300,5000,9700,21000
2014Q3,Construction,Female,6500,4800,9300,20600
2014Q4,Construction,Female,6100,4700,9700,20600
2015Q1,Construction,Female,6700,4700,10100,21500
2015Q2,Construction,Female,6100,5700,10500,22300
2015Q3,Construction,Female,6900,6100,11400,24500
2015Q4,Construction,Female,6200,7100,11700,25000
2016Q1,Construction,Female,6800,7600,13100,27600
2016Q2,Construction,Female,6700,6800,13900,27400
2016Q3,Construction,Female,6300,7200,12700,26100
2016Q4,Construction,Female,6400,9900,14400,30700
2017Q1,Construction,Female,7100,7800,16100,30900
2017Q2,Construction,Female,7600,8900,14900,31400
2017Q3,Construction,Female,7000,8900,15400,31200
2017Q4,Construction,Female,7300,8300,14200,29900
2018Q1,Construction,Female,8100,8700,14400,31200
2018Q2,Construction,Female,7800,7500,15500,30800
2018Q3,Construction,Female,8400,8700,15000,32100
2018Q4,Construction,Female,8100,8800,17200,34200
1989Q1,Construction,Both Sexes,13900,4400,52500,70700
1989Q2,Construction,Both Sexes,14000,4600,50900,69500
1989Q3,Construction,Both Sexes,14000,4600,49900,68600
1989Q4,Construction,Both Sexes,14100,4600,47800,66500
1990Q1,Construction,Both Sexes,14200,4600,48500,67200
1990Q2,Construction,Both Sexes,14100,4500,46300,65000
1990Q3,Construction,Both Sexes,14000,4200,47500,65800
1990Q4,Construction,Both Sexes,14000,4500,45500,64000
1991Q1,Construction,Both Sexes,13900,4300,48500,66700
1991Q2,Construction,Both Sexes,13700,4400,43600,61700
1991Q3,Construction,Both Sexes,13500,4200,39400,57100
1991Q4,Construction,Both Sexes,13200,4200,39100,56600
1992Q1,Construction,Both Sexes,13000,4200,40500,57600
1992Q2,Construction,Both Sexes,13100,4300,38500,55900
1992Q3,Construction,Both Sexes,13200,4200,36400,53900
1992Q4,Construction,Both Sexes,13300,4600,37400,55300
1993Q1,Construction,Both Sexes,13400,4200,40800,58400
1993Q2,Construction,Both Sexes,14000,4200,39800,58000
1993Q3,Construction,Both Sexes,14500,4100,38600,57300
1993Q4,Construction,Both Sexes,15100,4600,39600,59300
1994Q1,Construction,Both Sexes,15700,4400,43500,63500
1994Q2,Construction,Both Sexes,15800,4500,43300,63600
1994Q3,Construction,Both Sexes,15900,4500,42600,63000
1994Q4,Construction,Both Sexes,16100,4500,43700,64300
1995Q1,Construction,Both Sexes,16200,4500,49300,70000
1995Q2,Construction,Both Sexes,16300,4400,45600,66400
1995Q3,Construction,Both Sexes,16500,4700,47500,68700
1995Q4,Construction,Both Sexes,16600,4800,48900,70300
1996Q1,Construction,Both Sexes,16800,4700,54800,76300
1996Q2,Construction,Both Sexes,17000,4700,48600,70300
1996Q3,Construction,Both Sexes,17100,4700,49900,71800
1996Q4,Construction,Both Sexes,17300,4900,50100,72400
1997Q1,Construction,Both Sexes,17500,4800,55200,77500
1997Q2,Construction,Both Sexes,17600,4800,48400,70700
1997Q3,Construction,Both Sexes,17600,4900,49500,72000
1997Q4,Construction,Both Sexes,17700,4900,50700,73300
1998Q1,Construction,Both Sexes,17800,4900,59600,82300
1998Q2,Construction,Both Sexes,17700,5300,53000,76000
1998Q3,Construction,Both Sexes,17600,5300,52900,75800
1998Q4,Construction,Both Sexes,17500,5200,54000,76800
1999Q1,Construction,Both Sexes,17500,5200,55900,78500
1999Q2,Construction,Both Sexes,16400,5400,56000,77900
1999Q3,Construction,Both Sexes,15300,5300,55700,76300
1999Q4,Construction,Both Sexes,14800,4800,58400,77900
2000Q1,Construction,Both Sexes,13600,6100,60600,80200
2000Q2,Construction,Both Sexes,12700,6600,60000,79300
2000Q3,Construction,Both Sexes,13600,5000,60700,79200
2000Q4,Construction,Both Sexes,12800,5100,60700,78600
2001Q1,Construction,Both Sexes,12300,4400,60000,76700
2001Q2,Construction,Both Sexes,11800,3900,61600,77300
2001Q3,Construction,Both Sexes,14000,5000,60100,79200
2001Q4,Construction,Both Sexes,17100,7100,60700,84800
2002Q1,Construction,Both Sexes,15500,5900,62800,84200
2002Q2,Construction,Both Sexes,15600,6800,66500,88900
2002Q3,Construction,Both Sexes,14500,6000,65400,85900
2002Q4,Construction,Both Sexes,15400,7100,65700,88200
2003Q1,Construction,Both Sexes,15500,6200,66700,88300
2003Q2,Construction,Both Sexes,15700,7300,67100,90100
2003Q3,Construction,Both Sexes,16700,5200,67800,89600
2003Q4,Construction,Both Sexes,16900,6500,70300,93700
2004Q1,Construction,Both Sexes,19300,6700,71700,97600
2004Q2,Construction,Both Sexes,21400,7700,77900,106900
2004Q3,Construction,Both Sexes,20300,6100,76800,103200
2004Q4,Construction,Both Sexes,23000,6600,81500,111100
2005Q1,Construction,Both Sexes,20300,6800,84600,111700
2005Q2,Construction,Both Sexes,19600,8200,82700,110500
2005Q3,Construction,Both Sexes,19600,7600,83100,110300
2005Q4,Construction,Both Sexes,18500,10200,84000,112700
2006Q1,Construction,Both Sexes,18500,8300,89100,116000
2006Q2,Construction,Both Sexes,20600,9900,88700,119300
2006Q3,Construction,Both Sexes,19100,9000,90300,118400
2006Q4,Construction,Both Sexes,19600,9800,92400,121800
2007Q1,Construction,Both Sexes,21500,9800,94600,126000
2007Q2,Construction,Both Sexes,22000,10900,98200,131000
2007Q3,Construction,Both Sexes,21400,9400,97900,128700
2007Q4,Construction,Both Sexes,20700,9200,100300,130200
2008Q1,Construction,Both Sexes,20800,8100,103000,131900
2008Q2,Construction,Both Sexes,21800,8900,100300,131000
2008Q3,Construction,Both Sexes,23300,9000,98700,131000
2008Q4,Construction,Both Sexes,22600,8500,97100,128200
2009Q1,Construction,Both Sexes,22100,7100,93200,122400
2009Q2,Construction,Both Sexes,27100,8900,94600,130600
2009Q3,Construction,Both Sexes,24200,8500,91200,123900
2009Q4,Construction,Both Sexes,23200,8700,85200,117100
2010Q1,Construction,Both Sexes,19600,6600,86000,112200
2010Q2,Construction,Both Sexes,20200,7800,81200,109100
2010Q3,Construction,Both Sexes,21300,8200,81200,110800
2010Q4,Construction,Both Sexes,21300,7200,82000,110500
2011Q1,Construction,Both Sexes,20700,7800,87600,116100
2011Q2,Construction,Both Sexes,19500,5400,87100,112000
2011Q3,Construction,Both Sexes,20900,6200,86000,113200
2011Q4,Construction,Both Sexes,20500,7600,86900,115000
2012Q1,Construction,Both Sexes,18800,7800,87600,114100
2012Q2,Construction,Both Sexes,19600,7300,91200,118000
2012Q3,Construction,Both Sexes,21000,8100,90600,119700
2012Q4,Construction,Both Sexes,20900,9400,92500,122800
2013Q1,Construction,Both Sexes,22500,10500,95300,128400
2013Q2,Construction,Both Sexes,22200,11500,94000,127600
2013Q3,Construction,Both Sexes,22000,11400,92800,126200
2013Q4,Construction,Both Sexes,21100,12600,95600,129300
2014Q1,Construction,Both Sexes,21300,11700,99800,132800
2014Q2,Construction,Both Sexes,20500,10400,102600,133500
2014Q3,Construction,Both Sexes,22600,10100,103800,136500
2014Q4,Construction,Both Sexes,22000,8600,106100,136700
2015Q1,Construction,Both Sexes,22200,10600,110600,143400
2015Q2,Construction,Both Sexes,21000,12000,111800,144800
2015Q3,Construction,Both Sexes,23500,13300,115100,151800
2015Q4,Construction,Both Sexes,22600,12900,120900,156400
2016Q1,Construction,Both Sexes,23500,15400,118300,157200
2016Q2,Construction,Both Sexes,22200,14500,118000,154700
2016Q3,Construction,Both Sexes,23500,14300,115800,153600
2016Q4,Construction,Both Sexes,24000,18300,125100,167400
2017Q1,Construction,Both Sexes,24500,15900,132900,173300
2017Q2,Construction,Both Sexes,25100,17000,130800,172900
2017Q3,Construction,Both Sexes,24400,17500,129700,171700
2017Q4,Construction,Both Sexes,24800,14400,130100,169300
2018Q1,Construction,Both Sexes,25300,13000,129400,167600
2018Q2,Construction,Both Sexes,25500,11600,133300,170400
2018Q3,Construction,Both Sexes,26000,13300,131900,171200
2018Q4,Construction,Both Sexes,24700,14600,138500,177800
1989Q1,Wholesale Trade,Male,4800,2200,42300,49400
1989Q2,Wholesale Trade,Male,4900,2400,40200,47500
1989Q3,Wholesale Trade,Male,5000,2500,39700,47200
