YearQuarter,Industry,Gender,Average Weekly Ordinary Time Hours Paid,Average Weekly Overtime Hours Paid,Average Total (Ordinary Time + Overtime) Weekly Hours Paid
2013Q1,Construction,Female,30.67,0.39,31.06
2013Q2,Construction,Female,30.26,0.41,30.67
2013Q3,Construction,Female,30.01,0.48,30.49
2013Q4,Construction,Female,30.31,0.4,30.71
2014Q1,Construction,Female,31.42,0.49,31.9
2014Q2,Construction,Female,29.82,0.44,30.26
2014Q3,Construction,Female,30.84,0.41,31.25
2014Q4,Construction,Female,30.23,0.33,30.56
2015Q1,Construction,Female,31.15,0.33,31.48
2015Q2,Construction,Female,29.48,0.33,29.81
2015Q3,Construction,Female,29.94,0.28,30.22
2015Q4,Construction,Female,29.53,0.35,29.87
2016Q1,Construction,Female,29.9,0.36,30.25
2016Q2,Construction,Female,30.83,0.32,31.16
2016Q3,Construction,Female,30.38,0.39,30.77
2016Q4,Construction,Female,28.14,0.28,28.42
2017Q1,Construction,Female,30.05,0.41,30.45
2017Q2,Construction,Female,29.49,0.4,29.89
2017Q3,Construction,Female,29.51,0.25,29.76
2017Q4,Construction,Female,30.75,0.39,31.14
2018Q1,Construction,Female,31.53,0.58,32.11
2018Q2,Construction,Female,31.1,1.81,32.91
2018Q3,Construction,Female,29.91,0.45,30.36
2018Q4,Construction,Female,29.45,0.5,29.95
1989Q1,Construction,Both Sexes,37.33,3.62,40.95
1989Q2,Construction,Both Sexes,37.13,3.32,40.45
1989Q3,Construction,Both Sexes,36.89,3.17,40.06
1989Q4,Construction,Both Sexes,37.49,3.94,41.43
1990Q1,Construction,Both Sexes,37.22,3.69,40.92
1990Q2,Construction,Both Sexes,37.2,3.39,40.58
1990Q3,Construction,Both Sexes,36.95,2.89,39.84
1990Q4,Construction,Both Sexes,36.83,3.07,39.89
1991Q1,Construction,Both Sexes,36.99,2.93,39.92
1991Q2,Construction,Both Sexes,36.86,2.98,39.83
1991Q3,Construction,Both Sexes,36.51,1.99,38.49
1991Q4,Construction,Both Sexes,36.78,2.57,39.35
1992Q1,Construction,Both Sexes,37.29,2.49,39.79
1992Q2,Construction,Both Sexes,37.17,2.43,39.6
1992Q3,Construction,Both Sexes,36.71,1.89,38.6
1992Q4,Construction,Both Sexes,37.55,2.72,40.27
1993Q1,Construction,Both Sexes,37.8,2.57,40.37
1993Q2,Construction,Both Sexes,38.03,2.24,40.26
1993Q3,Construction,Both Sexes,37.71,1.97,39.68
1993Q4,Construction,Both Sexes,38.04,2.58,40.62
1994Q1,Construction,Both Sexes,38.09,2.6,40.69
1994Q2,Construction,Both Sexes,38.03,2.7,40.72
1994Q3,Construction,Both Sexes,37.85,2.02,39.87
1994Q4,Construction,Both Sexes,39,2.57,41.57
1995Q1,Construction,Both Sexes,38.52,2.49,41.01
1995Q2,Construction,Both Sexes,38.97,2.29,41.27
1995Q3,Construction,Both Sexes,38.13,1.99,40.12
1995Q4,Construction,Both Sexes,38.61,2.52,41.14
1996Q1,Construction,Both Sexes,38.61,2.47,41.08
1996Q2,Construction,Both Sexes,38.95,2.24,41.19
1996Q3,Construction,Both Sexes,38.15,1.86,40.01
1996Q4,Construction,Both Sexes,38.91,2.39,41.3
1997Q1,Construction,Both Sexes,38.81,2.3,41.12
1997Q2,Construction,Both Sexes,39.31,2.24,41.56
1997Q3,Construction,Both Sexes,38.12,1.9,40.02
1997Q4,Construction,Both Sexes,38.53,2.16,40.68
1998Q1,Construction,Both Sexes,38.93,2.06,40.99
1998Q2,Construction,Both Sexes,39.04,2.16,41.21
1998Q3,Construction,Both Sexes,38.03,1.63,39.66
1998Q4,Construction,Both Sexes,39.01,2.01,41.02
1999Q1,Construction,Both Sexes,39.59,2.21,41.8
1999Q2,Construction,Both Sexes,39.31,2.15,41.46
1999Q3,Construction,Both Sexes,38.79,1.75,40.54
1999Q4,Construction,Both Sexes,39.46,2.03,41.49
2000Q1,Construction,Both Sexes,39.08,2.3,41.38
2000Q2,Construction,Both Sexes,38.57,1.86,40.43
2000Q3,Construction,Both Sexes,39.17,1.73,40.9
2000Q4,Construction,Both Sexes,38.69,2.29,40.99
2001Q1,Construction,Both Sexes,38.5,1.86,40.35
2001Q2,Construction,Both Sexes,39.33,2.09,41.42
2001Q3,Construction,Both Sexes,38.57,2.17,40.74
2001Q4,Construction,Both Sexes,37.84,1.93,39.76
2002Q1,Construction,Both Sexes,38.71,2.18,40.89
2002Q2,Construction,Both Sexes,38.15,1.9,40.05
2002Q3,Construction,Both Sexes,38.4,1.93,40.33
2002Q4,Construction,Both Sexes,38.46,2.16,40.61
2003Q1,Construction,Both Sexes,38.82,2.23,41.05
2003Q2,Construction,Both Sexes,38.05,2.37,40.42
2003Q3,Construction,Both Sexes,38.61,1.68,40.29
2003Q4,Construction,Both Sexes,38.78,2.04,40.82
2004Q1,Construction,Both Sexes,38.46,1.9,40.37
2004Q2,Construction,Both Sexes,38.37,1.61,39.97
2004Q3,Construction,Both Sexes,38.93,1.81,40.73
2004Q4,Construction,Both Sexes,39.58,2.06,41.64
2005Q1,Construction,Both Sexes,39.34,2.03,41.38
2005Q2,Construction,Both Sexes,38.57,1.84,40.41
2005Q3,Construction,Both Sexes,38.94,1.82,40.75
2005Q4,Construction,Both Sexes,38.31,2.07,40.38
2006Q1,Construction,Both Sexes,38.82,2.16,40.98
2006Q2,Construction,Both Sexes,38.17,1.73,39.9
2006Q3,Construction,Both Sexes,37.29,1.66,38.94
2006Q4,Construction,Both Sexes,38.02,1.92,39.94
2007Q1,Construction,Both Sexes,38.14,1.8,39.93
2007Q2,Construction,Both Sexes,37.77,1.83,39.59
2007Q3,Construction,Both Sexes,37.74,1.59,39.33
2007Q4,Construction,Both Sexes,38.75,1.91,40.66
2008Q1,Construction,Both Sexes,39.13,1.62,40.75
2008Q2,Construction,Both Sexes,38.33,1.73,40.06
2008Q3,Construction,Both Sexes,37.19,1.61,38.8
2008Q4,Construction,Both Sexes,37.78,1.59,39.37
2009Q1,Construction,Both Sexes,38.76,1.67,40.42
2009Q2,Construction,Both Sexes,37.41,1.34,38.75
2009Q3,Construction,Both Sexes,37.96,1.32,39.28
2009Q4,Construction,Both Sexes,36.36,1.54,37.9
2010Q1,Construction,Both Sexes,37.3,1.64,38.94
2010Q2,Construction,Both Sexes,37,1.68,38.68
2010Q3,Construction,Both Sexes,36.86,1.66,38.51
2010Q4,Construction,Both Sexes,38.14,1.69,39.84
2011Q1,Construction,Both Sexes,37.83,1.62,39.45
2011Q2,Construction,Both Sexes,37.38,1.61,38.99
2011Q3,Construction,Both Sexes,37.23,1.51,38.74
2011Q4,Construction,Both Sexes,37.61,1.6,39.21
2012Q1,Construction,Both Sexes,37.81,1.66,39.47
2012Q2,Construction,Both Sexes,37.57,1.54,39.11
2012Q3,Construction,Both Sexes,37.95,1.57,39.51
2012Q4,Construction,Both Sexes,37.92,1.5,39.42
2013Q1,Construction,Both Sexes,37.99,1.66,39.65
2013Q2,Construction,Both Sexes,37.5,1.34,38.84
2013Q3,Construction,Both Sexes,37.24,1.18,38.42
2013Q4,Construction,Both Sexes,37.16,1.43,38.59
2014Q1,Construction,Both Sexes,37.76,1.48,39.24
2014Q2,Construction,Both Sexes,37.44,1.56,39.01
2014Q3,Construction,Both Sexes,37.53,1.32,38.85
2014Q4,Construction,Both Sexes,37.67,1.47,39.14
2015Q1,Construction,Both Sexes,37.84,1.51,39.35
2015Q2,Construction,Both Sexes,37.57,1.27,38.84
2015Q3,Construction,Both Sexes,37.3,1.22,38.52
2015Q4,Construction,Both Sexes,37.93,1.24,39.18
2016Q1,Construction,Both Sexes,37.8,1.31,39.11
2016Q2,Construction,Both Sexes,38.31,1.21,39.51
2016Q3,Construction,Both Sexes,37.91,1.19,39.1
2016Q4,Construction,Both Sexes,37.19,0.96,38.15
2017Q1,Construction,Both Sexes,37.21,1.31,38.53
2017Q2,Construction,Both Sexes,37.23,1.2,38.43
2017Q3,Construction,Both Sexes,36.96,1.19,38.15
2017Q4,Construction,Both Sexes,38.47,1.34,39.82
2018Q1,Construction,Both Sexes,38.01,1.38,39.39
2018Q2,Construction,Both Sexes,38.1,1.54,39.65
2018Q3,Construction,Both Sexes,37.8,1.08,38.88
2018Q4,Construction,Both Sexes,37.85,1.39,39.24
1989Q1,Wholesale Trade,Male,37.56,1.66,39.21
1989Q2,Wholesale Trade,Male,37.44,1.46,38.9
1989Q3,Wholesale Trade,Male,37.23,1.42,38.65
1989Q4,Wholesale Trade,Male,37.16,1.71,38.87
1990Q1,Wholesale Trade,Male,37.16,1.76,38.91
1990Q2,Wholesale Trade,Male,37.29,1.54,38.82
1990Q3,Wholesale Trade,Male,37.14,1.41,38.55
1990Q4,Wholesale Trade,Male,37.36,1.7,39.06
1991Q1,Wholesale Trade,Male,37.32,1.68,39
1991Q2,Wholesale Trade,Male,37.46,1.4,38.86
1991Q3,Wholesale Trade,Male,37.3,1.24,38.54
1991Q4,Wholesale Trade,Male,37.47,1.41,38.87
1992Q1,Wholesale Trade,Male,37.68,1.43,39.11
1992Q2,Wholesale Trade,Male,37.78,1.34,39.12
1992Q3,Wholesale Trade,Male,37.49,1.28,38.77
1992Q4,Wholesale Trade,Male,37.81,1.57,39.38
1993Q1,Wholesale Trade,Male,37.92,1.43,39.34
1993Q2,Wholesale Trade,Male,38.04,1.31,39.35
1993Q3,Wholesale Trade,Male,37.93,1.23,39.16
1993Q4,Wholesale Trade,Male,37.87,1.4,39.26
1994Q1,Wholesale Trade,Male,37.84,1.3,39.14
1994Q2,Wholesale Trade,Male,38.03,1.37,39.4
1994Q3,Wholesale Trade,Male,37.93,1.22,39.15
1994Q4,Wholesale Trade,Male,38.17,1.59,39.76
1995Q1,Wholesale Trade,Male,38.16,1.5,39.66
1995Q2,Wholesale Trade,Male,38.17,1.34,39.51
1995Q3,Wholesale Trade,Male,38.45,1.22,39.67
1995Q4,Wholesale Trade,Male,38.43,1.42,39.85
1996Q1,Wholesale Trade,Male,38.31,1.56,39.87
1996Q2,Wholesale Trade,Male,38.26,1.21,39.47
1996Q3,Wholesale Trade,Male,38.36,1.15,39.51
1996Q4,Wholesale Trade,Male,38.26,1.39,39.64
1997Q1,Wholesale Trade,Male,38.09,1.43,39.51
1997Q2,Wholesale Trade,Male,38.57,1.25,39.82
1997Q3,Wholesale Trade,Male,38.34,1.23,39.56
1997Q4,Wholesale Trade,Male,38.2,1.52,39.72
1998Q1,Wholesale Trade,Male,38.01,1.4,39.41
1998Q2,Wholesale Trade,Male,38.56,1.14,39.7
1998Q3,Wholesale Trade,Male,38.41,0.95,39.36
1998Q4,Wholesale Trade,Male,38.22,1.15,39.37
1999Q1,Wholesale Trade,Male,38.38,1.02,39.4
1999Q2,Wholesale Trade,Male,38.44,0.97,39.41
1999Q3,Wholesale Trade,Male,38.5,0.94,39.44
1999Q4,Wholesale Trade,Male,38.38,1.22,39.59
2000Q1,Wholesale Trade,Male,38.03,1.01,39.04
2000Q2,Wholesale Trade,Male,38.21,0.91,39.11
2000Q3,Wholesale Trade,Male,37.7,0.88,38.58
2000Q4,Wholesale Trade,Male,37.86,1.07,38.93
2001Q1,Wholesale Trade,Male,38.14,0.99,39.13
2001Q2,Wholesale Trade,Male,38.5,0.85,39.35
2001Q3,Wholesale Trade,Male,38.71,0.94,39.65
2001Q4,Wholesale Trade,Male,38.33,0.91,39.24
2002Q1,Wholesale Trade,Male,38.48,0.93,39.4
2002Q2,Wholesale Trade,Male,38.87,0.79,39.65
2002Q3,Wholesale Trade,Male,38.76,1.01,39.77
2002Q4,Wholesale Trade,Male,38.57,1.12,39.68
2003Q1,Wholesale Trade,Male,38.7,0.96,39.66
2003Q2,Wholesale Trade,Male,37.9,0.96,38.87
2003Q3,Wholesale Trade,Male,38.14,1.02,39.16
2003Q4,Wholesale Trade,Male,37.56,1.15,38.71
2004Q1,Wholesale Trade,Male,38.45,1.19,39.64
2004Q2,Wholesale Trade,Male,37.47,0.9,38.37
2004Q3,Wholesale Trade,Male,37.49,1.14,38.63
2004Q4,Wholesale Trade,Male,38.42,1.11,39.54
2005Q1,Wholesale Trade,Male,37.74,0.99,38.73
2005Q2,Wholesale Trade,Male,38.26,0.9,39.15
2005Q3,Wholesale Trade,Male,37.69,0.9,38.59
2005Q4,Wholesale Trade,Male,37.78,1.15,38.93
2006Q1,Wholesale Trade,Male,37.85,1.19,39.04
2006Q2,Wholesale Trade,Male,38.06,1.05,39.1
2006Q3,Wholesale Trade,Male,37.9,1.14,39.04
2006Q4,Wholesale Trade,Male,37.32,1.17,38.49
2007Q1,Wholesale Trade,Male,37.42,1.19,38.61
2007Q2,Wholesale Trade,Male,37.41,1.02,38.43
2007Q3,Wholesale Trade,Male,37.49,0.92,38.41
2007Q4,Wholesale Trade,Male,37.72,1.08,38.8
2008Q1,Wholesale Trade,Male,37.2,0.84,38.04
2008Q2,Wholesale Trade,Male,37.3,1.01,38.31
2008Q3,Wholesale Trade,Male,37.19,0.96,38.16
2008Q4,Wholesale Trade,Male,36.02,0.96,36.98
2009Q1,Wholesale Trade,Male,36.76,0.76,37.52
2009Q2,Wholesale Trade,Male,37.1,0.66,37.77
2009Q3,Wholesale Trade,Male,37.29,0.75,38.04
2009Q4,Wholesale Trade,Male,37.81,0.92,38.73
2010Q1,Wholesale Trade,Male,36.51,0.9,37.4
2010Q2,Wholesale Trade,Male,37.81,0.91,38.72
2010Q3,Wholesale Trade,Male,37.38,0.99,38.38
2010Q4,Wholesale Trade,Male,38.16,1.09,39.25
2011Q1,Wholesale Trade,Male,37.56,0.98,38.54
2011Q2,Wholesale Trade,Male,38.09,0.88,38.96
2011Q3,Wholesale Trade,Male,38.52,0.95,39.47
2011Q4,Wholesale Trade,Male,37.83,1.12,38.95
2012Q1,Wholesale Trade,Male,37.34,1.1,38.44
2012Q2,Wholesale Trade,Male,38.32,1,39.33
2012Q3,Wholesale Trade,Male,37.13,1.2,38.33
2012Q4,Wholesale Trade,Male,36.73,1.58,38.31
2013Q1,Wholesale Trade,Male,37.12,1.5,38.62
2013Q2,Wholesale Trade,Male,37.48,1.46,38.94
2013Q3,Wholesale Trade,Male,38.37,0.93,39.3
2013Q4,Wholesale Trade,Male,37.63,1.24,38.87
2014Q1,Wholesale Trade,Male,37.26,1.04,38.3
2014Q2,Wholesale Trade,Male,37.77,1.09,38.86
2014Q3,Wholesale Trade,Male,37.81,1.12,38.92
2014Q4,Wholesale Trade,Male,37.81,1.13,38.95
2015Q1,Wholesale Trade,Male,37.37,1.15,38.53
2015Q2,Wholesale Trade,Male,38,1.01,39.01
2015Q3,Wholesale Trade,Male,37.63,0.91,38.54
2015Q4,Wholesale Trade,Male,37.72,1.16,38.87
2016Q1,Wholesale Trade,Male,38.82,0.87,39.7
2016Q2,Wholesale Trade,Male,38.62,0.81,39.43
2016Q3,Wholesale Trade,Male,39.29,1.1,40.39
2016Q4,Wholesale Trade,Male,38.32,1.21,39.53
2017Q1,Wholesale Trade,Male,37.18,1.02,38.2
2017Q2,Wholesale Trade,Male,37.57,1.12,38.69
2017Q3,Wholesale Trade,Male,37.47,1.03,38.5
2017Q4,Wholesale Trade,Male,38.39,1.19,39.58
2018Q1,Wholesale Trade,Male,37.76,1.26,39.02
2018Q2,Wholesale Trade,Male,37.93,0.97,38.91
2018Q3,Wholesale Trade,Male,37.33,0.99,38.31
2018Q4,Wholesale Trade,Male,37.58,1.25,38.84
1989Q1,Wholesale Trade,Female,33.4,0.87,34.26
1989Q2,Wholesale Trade,Female,33.03,0.66,33.69
1989Q3,Wholesale Trade,Female,32.88,0.67,33.56
1989Q4,Wholesale Trade,Female,33.16,0.78,33.94
1990Q1,Wholesale Trade,Female,32.99,0.79,33.78
1990Q2,Wholesale Trade,Female,33.3,0.71,34.01
1990Q3,Wholesale Trade,Female,32.56,0.7,33.27
1990Q4,Wholesale Trade,Female,32.26,0.78,33.05
1991Q1,Wholesale Trade,Female,32.51,0.88,33.39
1991Q2,Wholesale Trade,Female,32.98,0.65,33.63
1991Q3,Wholesale Trade,Female,32.89,0.58,33.47
1991Q4,Wholesale Trade,Female,32.83,0.67,33.5
1992Q1,Wholesale Trade,Female,33.19,0.71,33.91
1992Q2,Wholesale Trade,Female,32.49,0.57,33.06
1992Q3,Wholesale Trade,Female,32.49,0.55,33.04
1992Q4,Wholesale Trade,Female,32.29,0.55,32.84
1993Q1,Wholesale Trade,Female,32.41,0.64,33.05
1993Q2,Wholesale Trade,Female,32.44,0.46,32.9
1993Q3,Wholesale Trade,Female,32,0.5,32.5
1993Q4,Wholesale Trade,Female,31.98,0.54,32.53
1994Q1,Wholesale Trade,Female,32.51,0.57,33.08
1994Q2,Wholesale Trade,Female,32.37,0.56,32.94
1994Q3,Wholesale Trade,Female,32.47,0.46,32.94
1994Q4,Wholesale Trade,Female,32.43,0.61,33.03
1995Q1,Wholesale Trade,Female,33.03,0.63,33.66
1995Q2,Wholesale Trade,Female,32.54,0.64,33.18
1995Q3,Wholesale Trade,Female,32.82,0.6,33.42
1995Q4,Wholesale Trade,Female,32.89,0.67,33.55
1996Q1,Wholesale Trade,Female,33.17,0.69,33.86
1996Q2,Wholesale Trade,Female,32.72,0.55,33.27
1996Q3,Wholesale Trade,Female,33.03,0.54,33.57
1996Q4,Wholesale Trade,Female,33.1,0.62,33.72
1997Q1,Wholesale Trade,Female,32.94,0.57,33.51
1997Q2,Wholesale Trade,Female,32.76,0.52,33.27
1997Q3,Wholesale Trade,Female,32.87,0.47,33.33
1997Q4,Wholesale Trade,Female,31.93,0.61,32.54
1998Q1,Wholesale Trade,Female,32.46,0.62,33.08
1998Q2,Wholesale Trade,Female,32.42,0.46,32.88
1998Q3,Wholesale Trade,Female,32.59,0.39,32.98
1998Q4,Wholesale Trade,Female,32.68,0.51,33.19
1999Q1,Wholesale Trade,Female,33.13,0.5,33.64
1999Q2,Wholesale Trade,Female,32.79,0.42,33.2
1999Q3,Wholesale Trade,Female,32.66,0.43,33.09
1999Q4,Wholesale Trade,Female,32.45,0.48,32.93
2000Q1,Wholesale Trade,Female,31.75,0.35,32.1
2000Q2,Wholesale Trade,Female,31.05,0.33,31.38
2000Q3,Wholesale Trade,Female,31.33,0.33,31.66
2000Q4,Wholesale Trade,Female,31.46,0.37,31.83
2001Q1,Wholesale Trade,Female,31.93,0.39,32.32
2001Q2,Wholesale Trade,Female,31.48,0.31,31.79
2001Q3,Wholesale Trade,Female,31.87,0.32,32.19
2001Q4,Wholesale Trade,Female,31.81,0.34,32.15
2002Q1,Wholesale Trade,Female,31.77,0.35,32.12
2002Q2,Wholesale Trade,Female,32.07,0.37,32.43
2002Q3,Wholesale Trade,Female,31.96,0.37,32.33
2002Q4,Wholesale Trade,Female,31.92,0.49,32.42
2003Q1,Wholesale Trade,Female,32.49,0.38,32.87
2003Q2,Wholesale Trade,Female,32.27,0.41,32.67
2003Q3,Wholesale Trade,Female,32.71,0.37,33.09
2003Q4,Wholesale Trade,Female,31.7,0.37,32.07
2004Q1,Wholesale Trade,Female,31.39,0.4,31.79
2004Q2,Wholesale Trade,Female,31.47,0.32,31.8
2004Q3,Wholesale Trade,Female,31.32,0.24,31.56
2004Q4,Wholesale Trade,Female,31.77,0.25,32.01
2005Q1,Wholesale Trade,Female,30.81,0.28,31.09
2005Q2,Wholesale Trade,Female,31.86,0.26,32.11
2005Q3,Wholesale Trade,Female,31.46,0.31,31.78
2005Q4,Wholesale Trade,Female,31.21,0.32,31.53
2006Q1,Wholesale Trade,Female,32.06,0.34,32.4
2006Q2,Wholesale Trade,Female,32.45,0.37,32.83
2006Q3,Wholesale Trade,Female,31.74,0.33,32.08
2006Q4,Wholesale Trade,Female,32.72,0.33,33.05
2007Q1,Wholesale Trade,Female,32.34,0.52,32.86
2007Q2,Wholesale Trade,Female,32.74,0.33,33.06
2007Q3,Wholesale Trade,Female,32.05,0.32,32.36
2007Q4,Wholesale Trade,Female,31.73,0.47,32.19
2008Q1,Wholesale Trade,Female,32.02,0.47,32.49
2008Q2,Wholesale Trade,Female,32.48,0.68,33.16
2008Q3,Wholesale Trade,Female,31.96,0.5,32.46
2008Q4,Wholesale Trade,Female,31.34,0.42,31.76
2009Q1,Wholesale Trade,Female,31.59,0.53,32.12
2009Q2,Wholesale Trade,Female,30.86,0.4,31.26
2009Q3,Wholesale Trade,Female,31.9,0.4,32.29
2009Q4,Wholesale Trade,Female,31.56,0.44,32.01
2010Q1,Wholesale Trade,Female,31.35,0.53,31.87
2010Q2,Wholesale Trade,Female,31.86,0.45,32.31
2010Q3,Wholesale Trade,Female,31.63,0.44,32.08
2010Q4,Wholesale Trade,Female,32.16,0.4,32.56
2011Q1,Wholesale Trade,Female,32.25,0.36,32.61
2011Q2,Wholesale Trade,Female,32.01,0.41,32.42
2011Q3,Wholesale Trade,Female,31.21,0.41,31.61
2011Q4,Wholesale Trade,Female,31.66,0.32,31.98
2012Q1,Wholesale Trade,Female,31.75,0.43,32.18
2012Q2,Wholesale Trade,Female,32.63,0.35,32.98
2012Q3,Wholesale Trade,Female,31.66,0.37,32.02
2012Q4,Wholesale Trade,Female,30.65,0.3,30.95
2013Q1,Wholesale Trade,Female,31.3,0.44,31.74
2013Q2,Wholesale Trade,Female,32.53,0.56,33.09
2013Q3,Wholesale Trade,Female,32.24,0.3,32.54
2013Q4,Wholesale Trade,Female,32.59,0.35,32.95
2014Q1,Wholesale Trade,Female,33.16,0.31,33.46
2014Q2,Wholesale Trade,Female,33.53,0.37,33.9
2014Q3,Wholesale Trade,Female,32.83,0.27,33.1
2014Q4,Wholesale Trade,Female,31.68,0.3,31.98
2015Q1,Wholesale Trade,Female,32.14,0.35,32.49
2015Q2,Wholesale Trade,Female,32.16,0.3,32.46
2015Q3,Wholesale Trade,Female,32.02,0.39,32.41
2015Q4,Wholesale Trade,Female,32.31,0.3,32.6
2016Q1,Wholesale Trade,Female,32.71,0.36,33.07
2016Q2,Wholesale Trade,Female,33.46,0.26,33.72
2016Q3,Wholesale Trade,Female,34.06,0.28,34.34
2016Q4,Wholesale Trade,Female,33.16,0.29,33.44
2017Q1,Wholesale Trade,Female,32.28,0.36,32.63
2017Q2,Wholesale Trade,Female,30.81,0.43,31.23
2017Q3,Wholesale Trade,Female,31.76,0.44,32.2
2017Q4,Wholesale Trade,Female,32.36,0.37,32.73
2018Q1,Wholesale Trade,Female,32.1,0.43,32.52
2018Q2,Wholesale Trade,Female,32.57,0.31,32.88
2018Q3,Wholesale Trade,Female,32.22,0.3,32.52
2018Q4,Wholesale Trade,Female,31.89,0.4,32.29
1989Q1,Wholesale Trade,Both Sexes,36.15,1.39,37.53
1989Q2,Wholesale Trade,Both Sexes,35.88,1.18,37.06
1989Q3,Wholesale Trade,Both Sexes,35.7,1.16,36.86
1989Q4,Wholesale Trade,Both Sexes,35.74,1.38,37.11
1990Q1,Wholesale Trade,Both Sexes,35.72,1.42,37.14
1990Q2,Wholesale Trade,Both Sexes,35.88,1.24,37.13
1990Q3,Wholesale Trade,Both Sexes,35.52,1.16,36.68
1990Q4,Wholesale Trade,Both Sexes,35.57,1.38,36.96
1991Q1,Wholesale Trade,Both Sexes,35.66,1.4,37.06
1991Q2,Wholesale Trade,Both Sexes,35.89,1.14,37.03
1991Q3,Wholesale Trade,Both Sexes,35.76,1.01,36.77
1991Q4,Wholesale Trade,Both Sexes,35.83,1.15,36.98
1992Q1,Wholesale Trade,Both Sexes,36.13,1.18,37.31
1992Q2,Wholesale Trade,Both Sexes,35.92,1.07,36.98
1992Q3,Wholesale Trade,Both Sexes,35.72,1.02,36.74
1992Q4,Wholesale Trade,Both Sexes,35.85,1.21,37.06
1993Q1,Wholesale Trade,Both Sexes,35.97,1.15,37.11
1993Q2,Wholesale Trade,Both Sexes,36.04,1.01,37.05
1993Q3,Wholesale Trade,Both Sexes,35.79,0.97,36.75
1993Q4,Wholesale Trade,Both Sexes,35.76,1.09,36.85
1994Q1,Wholesale Trade,Both Sexes,35.96,1.04,37
1994Q2,Wholesale Trade,Both Sexes,36.01,1.08,37.09
1994Q3,Wholesale Trade,Both Sexes,35.96,0.95,36.91
1994Q4,Wholesale Trade,Both Sexes,36.1,1.23,37.33
1995Q1,Wholesale Trade,Both Sexes,36.35,1.2,37.55
1995Q2,Wholesale Trade,Both Sexes,36.13,1.08,37.21
1995Q3,Wholesale Trade,Both Sexes,36.42,0.99,37.42
1995Q4,Wholesale Trade,Both Sexes,36.43,1.15,37.58
1996Q1,Wholesale Trade,Both Sexes,36.51,1.25,37.76
1996Q2,Wholesale Trade,Both Sexes,36.27,0.98,37.25
1996Q3,Wholesale Trade,Both Sexes,36.47,0.94,37.41
1996Q4,Wholesale Trade,Both Sexes,36.44,1.12,37.55
1997Q1,Wholesale Trade,Both Sexes,36.28,1.13,37.41
1997Q2,Wholesale Trade,Both Sexes,36.57,1,37.57
1997Q3,Wholesale Trade,Both Sexes,36.45,0.96,37.41
1997Q4,Wholesale Trade,Both Sexes,36,1.2,37.2
1998Q1,Wholesale Trade,Both Sexes,36.05,1.12,37.18
1998Q2,Wholesale Trade,Both Sexes,36.43,0.9,37.33
1998Q3,Wholesale Trade,Both Sexes,36.37,0.75,37.12
1998Q4,Wholesale Trade,Both Sexes,36.23,0.92,37.15
1999Q1,Wholesale Trade,Both Sexes,36.51,0.84,37.34
1999Q2,Wholesale Trade,Both Sexes,36.38,0.77,37.14
1999Q3,Wholesale Trade,Both Sexes,36.38,0.75,37.14
1999Q4,Wholesale Trade,Both Sexes,36.18,0.94,37.12
2000Q1,Wholesale Trade,Both Sexes,35.69,0.76,36.45
2000Q2,Wholesale Trade,Both Sexes,35.47,0.68,36.16
2000Q3,Wholesale Trade,Both Sexes,35.34,0.67,36.01
2000Q4,Wholesale Trade,Both Sexes,35.45,0.81,36.26
2001Q1,Wholesale Trade,Both Sexes,35.8,0.77,36.57
2001Q2,Wholesale Trade,Both Sexes,35.84,0.65,36.49
2001Q3,Wholesale Trade,Both Sexes,36.18,0.71,36.89
2001Q4,Wholesale Trade,Both Sexes,35.9,0.7,36.6
2002Q1,Wholesale Trade,Both Sexes,35.98,0.71,36.69
2002Q2,Wholesale Trade,Both Sexes,36.33,0.63,36.96
2002Q3,Wholesale Trade,Both Sexes,36.23,0.77,37
2002Q4,Wholesale Trade,Both Sexes,36.1,0.89,36.98
2003Q1,Wholesale Trade,Both Sexes,36.45,0.75,37.2
2003Q2,Wholesale Trade,Both Sexes,35.86,0.76,36.62
2003Q3,Wholesale Trade,Both Sexes,36.19,0.79,36.98
2003Q4,Wholesale Trade,Both Sexes,35.42,0.86,36.29
2004Q1,Wholesale Trade,Both Sexes,35.79,0.89,36.68
2004Q2,Wholesale Trade,Both Sexes,35.31,0.7,36.01
2004Q3,Wholesale Trade,Both Sexes,35.28,0.82,36.1
2004Q4,Wholesale Trade,Both Sexes,36.04,0.8,36.85
2005Q1,Wholesale Trade,Both Sexes,35.23,0.73,35.96
2005Q2,Wholesale Trade,Both Sexes,35.86,0.66,36.52
2005Q3,Wholesale Trade,Both Sexes,35.41,0.69,36.09
2005Q4,Wholesale Trade,Both Sexes,35.36,0.85,36.21
2006Q1,Wholesale Trade,Both Sexes,35.76,0.88,36.64
2006Q2,Wholesale Trade,Both Sexes,36.06,0.81,36.87
2006Q3,Wholesale Trade,Both Sexes,35.71,0.85,36.56
2006Q4,Wholesale Trade,Both Sexes,35.72,0.87,36.6
2007Q1,Wholesale Trade,Both Sexes,35.65,0.95,36.61
2007Q2,Wholesale Trade,Both Sexes,35.75,0.77,36.53
2007Q3,Wholesale Trade,Both Sexes,35.54,0.7,36.24
2007Q4,Wholesale Trade,Both Sexes,35.59,0.86,36.45
2008Q1,Wholesale Trade,Both Sexes,35.36,0.71,36.07
2008Q2,Wholesale Trade,Both Sexes,35.56,0.89,36.45
